TF	Ligand(Target)	Receptor	Source
336	AR	CD86	CD28	CellTalk
337	AR	TNFSF10	TNFRSF10D	CellTalk
338	AR	TNFSF10	RIPK1	CellTalk
339	AR	TNFSF10	TNFRSF10B	CellTalk
340	AR	TNFSF10	TNFRSF10C	CellTalk
341	AR	TNFSF10	TNFRSF11B	CellTalk
342	AR	TNFSF10	TNFRSF10A	CellTalk
343	AR	PLAT	ITGAM	CellTalk
344	AR	PLAT	LRP1	CellTalk
345	AR	PLAT	ITGB2	CellTalk
346	AR	COL6A1	ITGB1	CellTalk
347	AR	COL6A1	ITGA6	CellTalk
348	AR	COL6A1	ITGA1	CellTalk
349	AR	COL6A1	ITGA2	CellTalk
350	AR	NRG1	GPC1	CellTalk
351	AR	NRG1	ERBB3	CellTalk
352	AR	NRG1	ERBB2	CellTalk
353	AR	NRG1	EGFR	CellTalk
354	AR	NRG1	MS4A4A	CellTalk
355	AR	NRG1	ADGRL1	CellTalk
356	AR	NRG1	ERBB4	CellTalk
357	AR	NRG1	LGR4	CellTalk
358	AR	CNTN3	PTPRG	CellTalk
359	AR	DCN	EGFR	CellTalk
360	AR	DCN	MET	CellTalk
361	AR	DCN	ERBB4	CellTalk
362	AR	BMPR1B	ACVR2A	CellChat
363	AR	BMPR1B	ACVR2B	CellChat
364	AR	BMPR1B	BMPR2	CellChat
365	AR	LAMC1	ITGA6	CellTalk
366	AR	LAMC1	ITGA1	CellTalk
367	AR	LAMC1	ITGA7	CellTalk
368	AR	LAMC1	ITGAV	CellTalk
369	AR	LAMC1	ITGB1	CellTalk
370	AR	LAMC1	ITGA2	CellTalk
371	AR	LAMC1	ITGA3	CellTalk
372	AR	LAMC1	ITGB4	CellTalk
373	AR	ADAM28	ITGA4	CellTalk
374	AR	HGF	CD44	CellTalk
375	AR	HGF	SDC1	CellTalk
376	AR	HGF	ITGB1	CellTalk
377	AR	HGF	MET	CellTalk
378	AR	HGF	SDC2	CellTalk
379	AR	HGF	NRP1	CellTalk
380	AR	HGF	ST14	CellTalk
381	AR	MFNG	NOTCH2	CellTalk
382	AR	MFNG	NOTCH1	CellTalk
383	AR	PTPN11	FCRL4	CellTalk
384	AR	MMP2	PECAM1	CellTalk
385	AR	MMP2	CCR2	CellTalk
386	AR	MMP2	SDC2	CellTalk
387	AR	MMP2	FGFR1	CellTalk
388	AR	ICAM4	ITGAM	CellTalk
389	AR	ICAM4	ITGAL	CellTalk
390	AR	ICAM4	ITGA4	CellTalk
391	AR	ICAM4	ITGB3	CellTalk
392	AR	ICAM4	ITGB2	CellTalk
393	AR	ICAM4	ITGB1	CellTalk
394	AR	ICAM4	RHAG	CellTalk
395	AR	ICAM4	ITGAV	CellTalk
396	AR	ICAM4	ITGA2B	CellTalk
397	AR	FZD10	LRP5	CellChat
398	AR	FZD10	LRP6	CellChat
399	AR	INHBB	ACVR2B	CellTalk
400	AR	INHBB	SMAD3	CellTalk
401	AR	INHBB	ACVR1B	CellTalk
402	AR	INHBB	ACVR2A	CellTalk
403	AR	INHBB	ACVR1C	CellTalk
404	AR	INHBB	ACVR1	CellTalk
405	AR	RGMA	HJV	CellTalk
406	AR	RGMA	NEO1	CellTalk
407	AR	RGMA	BMPR2	CellTalk
408	AR	RGMA	BMPR1B	CellTalk
409	AR	RGMA	HFE	CellTalk
410	AR	RGMA	TFR2	CellTalk
411	AR	GNAS	CRHR1	CellTalk
412	AR	GNAS	GLP1R	CellTalk
413	AR	GNAS	GCGR	CellTalk
414	AR	GNAS	ADCY7	CellTalk
415	AR	GNAS	TSHR	CellTalk
416	AR	GNAS	ADCY8	CellTalk
417	AR	GNAS	HTR6	CellTalk
418	AR	GNAS	PTGIR	CellTalk
419	AR	GNAS	ADCY9	CellTalk
420	AR	GNAS	LHCGR	CellTalk
